Name, n, |M|, distribution
10-instance-1, 10, 0, 0,0,0,0,0,0,0,0,0,0,
10-instance-2, 10, 2, 1,0,0,0.5,0,0,0,0,0.5,0,
10-instance-3, 10, 0, 0,0,0,0,0,0,0,0,0,0,
10-instance-4, 10, 0, 0,0,0,0,0,0,0,0,0,0,
10-instance-5, 10, 0, 0,0,0,0,0,0,0,0,0,0,
10-instance-6, 10, 4, 1,0.25,0,0,0.25,0,1,0.25,0.25,0,
10-instance-7, 10, 0, 0,0,1,0,0,0,0,0,0,1,
10-instance-8, 10, 0, 0,1,0,0,1,0,0,0,0,0,
10-instance-9, 10, 4, 0,0.5,0,1,0,0,0,0.5,0.5,0.5,
10-instance-10, 10, 0, 0,0,0,0,0,0,0,0,0,0,
10-instance-11, 10, 3, 1,0,0,0,1,0.333333,0.333333,0,0,0.333333,
10-instance-12, 10, 0, 0,0,0,0,0,0,0,0,0,0,
10-instance-13, 10, 3, 0,0,0.333333,1,0.333333,0,0,0,0,0.333333,
10-instance-14, 10, 0, 0,0,0,0,0,0,0,0,0,0,
10-instance-15, 10, 0, 0,0,0,1,1,0,0,0,0,0,
10-instance-16, 10, 0, 1,1,1,0,0,0,1,1,1,1,
10-instance-17, 10, 0, 0,0,0,0,1,0,1,0,1,0,
10-instance-18, 10, 5, 0,0,1,1,0,0,0,0,0,0,
10-instance-19, 10, 2, 1,1,0.5,0.5,0,0,1,1,0,1,
10-instance-20, 10, 0, 1,0,1,0,0,1,0,0,0,1,
10-instance-21, 10, 0, 1,0,0,0,0,0,0,0,0,1,
10-instance-22, 10, 4, 0,0.625,0.375,0,0,0.375,1,0,0.625,0,
10-instance-23, 10, 2, 1,1,0.5,0,0,0,0,0,0.5,0,
10-instance-24, 10, 2, 1,0,0,1,0,1,0.5,1,0,0.5,
10-instance-25, 10, 4, 0,1,0.5,1,0.5,0.5,0,0.5,0,1,
10-instance-26, 10, 0, 0,0,0,0,0,0,0,0,0,0,
10-instance-27, 10, 4, 0.5,0,0,0,1,0.5,0.5,1,0.5,1,
